#,Date,Bitcoin,BTC,Blockchain,Cryptocurrency,Iota
48,2/3/2016 23:59,91,64,61,65,71
49,3/3/2016 0:58,96,68,56,42,73
50,3/3/2016 1:59,92,76,59,55,72
51,3/3/2016 2:59,92,77,70,61,71
52,3/3/2016 3:59,95,83,65,74,70
53,3/3/2016 4:59,96,95,60,72,67
54,3/3/2016 5:59,92,96,70,94,55
55,3/3/2016 6:56,89,90,72,87,56
56,3/3/2016 7:59,82,96,81,100,44
57,3/3/2016 8:58,80,89,96,78,45
58,3/3/2016 9:59,76,100,95,78,32
59,3/3/2016 10:59,79,91,100,80,32
60,3/3/2016 11:59,76,87,87,58,29
61,3/3/2016 12:59,79,80,86,48,38
62,3/3/2016 13:58,84,79,76,72,38
63,3/3/2016 14:59,98,80,82,79,43
64,3/3/2016 15:59,93,80,85,58,44
65,3/3/2016 16:59,86,80,79,62,51
66,3/3/2016 17:59,88,74,69,59,55
67,3/3/2016 18:59,85,69,63,90,47
68,3/3/2016 19:59,86,63,63,56,49
69,3/3/2016 20:59,92,66,69,66,48
70,3/3/2016 21:59,89,65,72,69,66
71,3/3/2016 22:59,93,62,71,64,58
72,3/3/2016 23:59,92,69,59,73,69
73,4/3/2016 0:59,88,66,64,53,61
74,4/3/2016 1:58,89,81,53,94,71
75,4/3/2016 2:59,86,80,63,53,55
76,4/3/2016 3:58,90,80,59,66,60
77,4/3/2016 4:55,93,79,72,83,62
78,4/3/2016 5:59,92,87,66,65,55
79,4/3/2016 6:59,84,88,75,69,50
80,4/3/2016 7:59,78,91,81,60,45
81,4/3/2016 8:59,78,84,89,69,33
82,4/3/2016 9:59,77,87,81,73,33
83,4/3/2016 10:56,76,84,75,67,42
84,4/3/2016 11:59,72,77,67,65,34
85,4/3/2016 12:59,68,75,69,81,38
86,4/3/2016 13:59,73,71,71,51,60
87,4/3/2016 14:59,78,75,65,65,61
88,4/3/2016 15:59,75,71,69,64,65
89,4/3/2016 16:59,80,73,66,62,100
90,4/3/2016 17:59,77,68,60,71,64
91,4/3/2016 18:59,79,61,58,60,63
92,4/3/2016 19:59,78,63,52,72,59
93,4/3/2016 20:59,92,60,62,62,65
94,4/3/2016 21:58,85,66,57,64,57
95,4/3/2016 22:59,88,61,54,60,61
96,4/3/2016 23:59,93,60,44,56,58
97,5/3/2016 0:59,99,68,45,63,62
98,5/3/2016 1:59,100,78,44,95,64
99,5/3/2016 2:59,96,81,47,90,73
100,5/3/2016 3:59,93,80,48,67,50
101,5/3/2016 4:59,96,80,56,66,61
102,5/3/2016 5:53,83,90,38,80,47
103,5/3/2016 6:56,82,95,49,79,41
104,5/3/2016 7:59,83,98,54,56,42
105,5/3/2016 8:59,78,88,57,65,25
106,5/3/2016 9:59,78,86,55,76,31
107,5/3/2016 10:59,76,91,60,69,30
108,5/3/2016 11:59,71,78,51,53,29
109,5/3/2016 12:59,74,76,50,50,31
110,5/3/2016 13:59,73,76,52,50,40
111,5/3/2016 14:59,77,75,51,54,37
112,5/3/2016 15:59,82,74,56,52,38
113,5/3/2016 16:59,86,79,55,74,32
114,5/3/2016 17:58,80,71,47,53,44
115,5/3/2016 18:58,80,65,47,64,41
116,5/3/2016 19:59,94,66,47,56,42
117,5/3/2016 20:59,83,64,48,88,44
118,5/3/2016 21:59,90,60,50,77,57
119,5/3/2016 22:59,87,58,54,60,47
120,5/3/2016 23:59,88,61,50,69,45
121,6/3/2016 0:59,93,65,38,63,56
122,6/3/2016 1:59,90,67,41,82,51
123,6/3/2016 2:59,83,77,39,46,57
124,6/3/2016 3:59,89,72,42,68,55
125,6/3/2016 4:56,87,77,42,77,58
126,6/3/2016 5:59,79,82,41,90,39
127,6/3/2016 6:59,82,89,48,72,40
128,6/3/2016 7:59,76,81,40,55,44
129,6/3/2016 8:59,75,75,46,59,39
130,6/3/2016 9:59,72,77,44,77,37
131,6/3/2016 10:58,72,80,49,62,39
132,6/3/2016 11:59,71,67,48,64,27
133,6/3/2016 12:59,69,69,48,52,26
134,6/3/2016 13:59,67,64,47,59,33
135,6/3/2016 14:59,70,69,45,52,31
136,6/3/2016 15:59,71,63,44,72,39
137,6/3/2016 16:58,70,60,50,53,44
138,6/3/2016 17:59,70,59,46,68,37
139,6/3/2016 18:59,72,59,46,67,50
140,6/3/2016 19:59,85,57,45,69,41
141,6/3/2016 20:59,77,56,45,61,43
142,6/3/2016 21:59,79,58,53,95,46
143,6/3/2016 22:59,84,56,55,61,53
144,6/3/2016 23:58,87,62,50,83,67
145,7/3/2016 0:56,86,62,54,66,55
146,7/3/2016 1:59,85,74,59,69,55
147,7/3/2016 2:57,88,71,59,67,69
148,7/3/2016 3:59,89,76,56,75,63
149,7/3/2016 4:57,87,81,52,50,56
150,7/3/2016 5:56,89,85,71,75,61
151,7/3/2016 6:59,86,86,79,86,48
152,7/3/2016 7:59,78,89,78,71,42
153,7/3/2016 8:57,72,92,86,76,38
154,7/3/2016 9:59,75,83,96,88,34
155,7/3/2016 10:59,75,82,77,75,33
156,7/3/2016 11:59,74,83,80,53,32
157,7/3/2016 12:59,76,78,73,59,31
158,7/3/2016 13:59,76,76,72,78,36
159,7/3/2016 14:59,74,79,69,73,40
160,7/3/2016 15:59,84,80,78,64,46
161,7/3/2016 16:59,80,76,66,69,44
162,7/3/2016 17:59,78,71,65,65,51
163,7/3/2016 18:59,79,65,62,72,52
164,7/3/2016 19:57,81,63,65,67,53
165,7/3/2016 20:58,95,61,59,67,59
166,7/3/2016 21:59,85,67,69,70,60
167,7/3/2016 22:57,90,63,68,74,45
168,7/3/2016 23:59,86,61,59,47,51
169,8/3/2016 0:57,91,69,51,51,59
170,8/3/2016 1:59,79,69,54,48,86
171,8/3/2016 2:59,77,69,57,64,74
172,8/3/2016 3:53,72,74,62,63,95
173,8/3/2016 4:59,78,77,62,55,88
174,8/3/2016 5:58,82,83,64,67,74
175,8/3/2016 6:56,77,84,77,91,75
176,8/3/2016 7:55,69,92,74,76,68
177,8/3/2016 8:59,68,93,72,65,62
178,8/3/2016 9:55,64,92,84,56,71
179,8/3/2016 10:59,64,86,91,67,63
180,8/3/2016 11:59,63,84,83,41,89
181,8/3/2016 12:59,59,82,82,47,80
182,8/3/2016 13:59,63,75,67,56,81
183,8/3/2016 14:59,68,74,85,70,86
184,8/3/2016 15:59,63,77,85,69,96
185,8/3/2016 16:59,64,70,79,54,80
186,8/3/2016 17:59,66,74,74,60,100
187,8/3/2016 18:59,68,72,72,53,88
188,8/3/2016 19:59,73,63,61,58,98
189,8/3/2016 20:59,66,60,61,46,91
190,8/3/2016 21:59,71,62,66,60,94
191,8/3/2016 22:59,71,57,66,58,91
192,8/3/2016 23:58,88,62,68,72,95
193,9/3/2016 0:58,76,60,63,58,94
194,9/3/2016 1:58,72,65,60,59,79
195,9/3/2016 2:58,72,71,57,65,97
196,9/3/2016 3:59,71,77,57,55,92
197,9/3/2016 4:58,73,79,54,52,89
198,9/3/2016 5:59,78,93,61,62,87
199,9/3/2016 6:59,71,95,70,73,73
200,9/3/2016 7:59,69,98,70,74,62
201,9/3/2016 8:58,69,94,84,83,58
202,9/3/2016 9:59,65,95,95,67,54
203,9/3/2016 10:59,60,89,89,72,56
204,9/3/2016 11:59,59,93,82,70,60
205,9/3/2016 12:59,60,83,74,54,48
206,9/3/2016 13:59,61,77,72,64,46
207,9/3/2016 14:59,58,75,68,67,60
208,9/3/2016 15:59,64,74,80,56,74
209,9/3/2016 16:58,67,74,78,54,72
210,9/3/2016 17:59,63,76,80,72,74
211,9/3/2016 18:59,63,70,69,67,77
212,9/3/2016 19:59,66,61,64,71,73
213,9/3/2016 20:59,62,59,69,49,79
214,9/3/2016 21:59,66,60,68,58,89
215,9/3/2016 22:59,75,62,66,84,86
216,9/3/2016 23:59,81,61,64,70,81
217,10/3/2016 0:59,76,58,66,70,78
218,10/3/2016 1:57,79,68,59,69,78
219,10/3/2016 2:59,71,74,54,90,78
220,10/3/2016 3:59,71,78,52,46,91
221,10/3/2016 4:59,74,82,56,51,99
222,10/3/2016 5:59,73,85,56,83,71
223,10/3/2016 6:58,74,100,68,72,69
224,10/3/2016 7:58,69,90,74,64,58
225,10/3/2016 8:59,64,92,71,67,58
226,10/3/2016 9:59,64,93,85,74,62
227,10/3/2016 10:58,62,87,97,54,46
228,10/3/2016 11:59,63,87,80,35,47
229,10/3/2016 12:59,60,85,78,50,44
230,10/3/2016 13:59,61,80,78,57,53
231,10/3/2016 14:59,69,84,85,50,51
232,10/3/2016 15:59,63,79,77,60,59
233,10/3/2016 16:59,63,78,77,55,61
234,10/3/2016 17:59,64,74,75,67,62
235,10/3/2016 18:59,65,65,63,52,69
236,10/3/2016 19:59,63,58,65,64,67
237,10/3/2016 20:59,66,62,66,64,67
238,10/3/2016 21:59,66,60,62,46,71
239,10/3/2016 22:59,69,56,61,59,73
240,10/3/2016 23:59,70,62,61,77,94
241,11/3/2016 0:59,70,61,56,88,82
242,11/3/2016 1:59,72,65,54,53,65
243,11/3/2016 2:57,71,68,57,61,80
244,11/3/2016 3:57,67,73,47,53,81
245,11/3/2016 4:59,70,78,51,50,90
246,11/3/2016 5:58,71,84,56,71,85
247,11/3/2016 6:57,67,86,59,53,76
248,11/3/2016 7:59,66,85,64,90,63
249,11/3/2016 8:59,65,90,73,52,53
250,11/3/2016 9:59,62,97,82,67,55
251,11/3/2016 10:57,62,93,84,54,49
252,11/3/2016 11:59,61,85,77,57,46
253,11/3/2016 12:59,61,83,75,73,34
254,11/3/2016 13:59,58,78,68,54,39
255,11/3/2016 14:59,61,76,70,42,54
256,11/3/2016 15:59,57,76,69,36,57
257,11/3/2016 16:57,66,74,65,68,63
258,11/3/2016 17:58,64,71,67,53,75
259,11/3/2016 18:58,68,70,59,44,65
260,11/3/2016 19:59,75,58,55,48,76
261,11/3/2016 20:59,70,59,56,67,73
262,11/3/2016 21:59,62,55,62,51,74
263,11/3/2016 22:59,66,57,56,42,70
264,11/3/2016 23:58,71,58,49,79,79
265,12/3/2016 0:59,100,56,44,60,61
266,12/3/2016 1:58,70,62,43,70,84
267,12/3/2016 2:56,68,64,38,76,68
268,12/3/2016 3:58,69,72,31,63,79
269,12/3/2016 4:59,69,78,46,72,59
270,12/3/2016 5:59,72,78,43,66,77
271,12/3/2016 6:58,72,80,43,74,48
272,12/3/2016 7:59,67,90,52,71,55
273,12/3/2016 8:59,60,88,49,44,52
274,12/3/2016 9:59,58,87,53,60,52
275,12/3/2016 10:59,58,84,61,65,39
276,12/3/2016 11:58,60,82,60,64,40
277,12/3/2016 12:58,62,73,57,33,39
278,12/3/2016 13:59,59,75,52,52,36
279,12/3/2016 14:59,58,75,42,55,43
280,12/3/2016 15:58,59,79,46,57,44
281,12/3/2016 16:59,59,69,51,49,44
282,12/3/2016 17:59,60,73,44,64,54
283,12/3/2016 18:59,65,66,46,55,59
284,12/3/2016 19:58,72,63,47,50,58
285,12/3/2016 20:59,62,62,45,58,55
286,12/3/2016 21:59,66,53,46,57,59
287,12/3/2016 22:57,67,54,42,65,80
288,12/3/2016 23:59,68,54,58,65,59
289,13-03-16 0:58,72,56,50,87,69
290,13-03-16 1:59,73,59,45,56,75
291,13-03-16 2:57,69,63,40,86,66
292,13-03-16 3:59,71,71,45,90,68
293,13-03-16 4:59,69,70,45,81,69
294,13-03-16 5:56,69,75,48,100,75
295,13-03-16 6:56,71,77,42,66,70
296,13-03-16 7:58,66,86,48,82,64
297,13-03-16 8:59,65,80,49,88,50
298,13-03-16 9:58,58,74,49,84,44
299,13-03-16 10:57,60,80,53,70,41
300,13-03-16 11:58,59,72,58,67,48
301,13-03-16 12:58,63,78,57,64,41
302,13-03-16 13:59,58,74,52,56,49
303,13-03-16 14:59,57,72,50,77,38
304,13-03-16 15:59,57,64,49,68,39
305,13-03-16 16:58,60,65,48,71,45
306,13-03-16 17:59,62,66,51,67,47
307,13-03-16 18:59,62,60,53,57,63
308,13-03-16 19:59,74,59,58,56,51
309,13-03-16 20:59,62,57,52,59,66
310,13-03-16 21:59,66,57,56,62,66
311,13-03-16 22:59,71,57,59,85,78
312,13-03-16 23:59,71,56,61,87,86
313,14-03-16 0:58,75,58,55,71,73
314,14-03-16 1:59,72,62,51,67,76
315,14-03-16 2:59,73,73,55,67,79
316,14-03-16 3:57,75,78,58,85,78
317,14-03-16 4:58,74,79,57,43,72
318,14-03-16 5:58,76,88,60,78,91
319,14-03-16 6:59,72,85,70,73,73
320,14-03-16 7:59,72,90,77,91,61
321,14-03-16 8:57,64,97,72,79,42
322,14-03-16 9:59,68,94,85,70,45
323,14-03-16 10:53,66,91,93,76,51
324,14-03-16 11:59,66,88,100,69,44
325,14-03-16 12:59,63,76,85,73,52
326,14-03-16 13:59,62,77,71,76,56
327,14-03-16 14:59,64,77,75,71,60
328,14-03-16 15:58,67,74,81,73,65
329,14-03-16 16:59,71,75,84,62,62
330,14-03-16 17:58,71,78,73,75,63
331,14-03-16 18:59,68,67,68,68,64
332,14-03-16 19:59,72,69,64,62,81
333,14-03-16 20:59,75,59,63,60,67
334,14-03-16 21:58,71,57,72,59,84
335,14-03-16 22:59,76,62,67,80,79
336,14-03-16 23:59,86,60,70,53,74
337,15-03-16 0:59,80,63,63,71,71
338,15-03-16 1:59,77,63,54,58,84
339,15-03-16 2:59,90,59,54,52,87
340,15-03-16 3:57,89,65,60,68,91
341,15-03-16 4:59,91,72,61,77,81
342,15-03-16 5:59,88,79,65,75,98
343,15-03-16 6:55,91,80,65,77,74
344,15-03-16 7:58,88,79,63,76,70
345,15-03-16 8:59,81,85,74,78,65
346,15-03-16 9:59,79,93,74,62,49
347,15-03-16 10:59,80,90,81,58,48
348,15-03-16 11:59,78,82,86,73,51
349,15-03-16 12:59,80,82,94,49,40
350,15-03-16 13:59,79,76,79,71,46
351,15-03-16 14:58,76,75,75,42,59
352,15-03-16 15:58,71,73,75,71,56
353,15-03-16 16:58,74,68,82,53,71
354,15-03-16 17:58,78,68,80,53,71
355,15-03-16 18:57,93,70,78,60,72
356,15-03-16 19:58,78,63,69,49,70
357,15-03-16 20:59,79,60,62,46,65
358,15-03-16 21:59,78,51,64,57,74
359,15-03-16 22:59,79,55,70,58,81
360,15-03-16 23:59,90,55,68,59,76
361,16-03-16 0:58,84,57,67,76,69
362,16-03-16 1:59,84,54,61,68,75
363,16-03-16 2:59,82,62,54,84,91
364,16-03-16 3:59,77,65,53,42,83
365,16-03-16 4:57,80,74,61,55,86
366,16-03-16 5:59,81,73,55,63,84
367,16-03-16 6:58,88,81,63,41,80
368,16-03-16 7:59,86,83,63,63,61
369,16-03-16 8:59,80,86,75,60,71
370,16-03-16 9:58,76,90,77,67,62
371,16-03-16 10:58,77,92,82,54,48
372,16-03-16 11:59,74,89,100,74,50
373,16-03-16 12:59,76,86,88,55,45
374,16-03-16 13:58,76,75,80,50,47
375,16-03-16 14:59,71,71,76,51,55
376,16-03-16 15:59,71,77,78,67,60
377,16-03-16 16:59,75,68,74,47,62
378,16-03-16 17:59,77,72,80,55,79
379,16-03-16 18:59,76,70,84,58,69
380,16-03-16 19:59,82,67,69,62,76
381,16-03-16 20:59,91,62,71,59,79
382,16-03-16 21:58,79,56,64,56,76
383,16-03-16 22:59,72,56,73,42,79
384,16-03-16 23:59,80,50,66,58,68
385,17-03-16 0:59,81,54,65,63,73
386,17-03-16 1:56,84,53,69,73,77
387,17-03-16 2:58,83,56,58,39,79
388,17-03-16 3:59,83,69,63,62,94
389,17-03-16 4:56,81,85,65,61,84
390,17-03-16 5:59,80,86,66,64,90
391,17-03-16 6:59,89,100,58,100,69
392,17-03-16 7:59,80,91,65,72,61
393,17-03-16 8:59,77,96,74,50,45
394,17-03-16 9:59,73,96,91,67,45
395,17-03-16 10:58,75,95,97,65,54
396,17-03-16 11:59,75,88,97,56,48
397,17-03-16 12:59,74,83,100,46,53
398,17-03-16 13:58,70,74,79,52,49
399,17-03-16 14:59,70,76,79,68,48
400,17-03-16 15:59,70,80,84,66,56
401,17-03-16 16:59,73,82,82,49,68
402,17-03-16 17:59,76,77,78,47,64
403,17-03-16 18:59,81,74,73,61,66
404,17-03-16 19:59,83,70,71,54,70
405,17-03-16 20:59,75,60,66,51,69
406,17-03-16 21:59,76,54,60,59,85
407,17-03-16 22:59,76,56,61,50,78
408,17-03-16 23:56,82,58,62,70,69
409,18-03-16 0:58,85,56,57,62,67
410,18-03-16 1:59,87,59,67,70,92
411,18-03-16 2:59,85,59,55,55,82
412,18-03-16 3:57,80,75,64,69,87
413,18-03-16 4:56,80,77,62,60,84
414,18-03-16 5:59,85,85,59,68,69
415,18-03-16 6:58,88,91,57,97,88
416,18-03-16 7:57,79,100,71,61,57
417,18-03-16 8:58,81,91,69,52,56
418,18-03-16 9:59,73,95,77,90,47
419,18-03-16 10:59,71,90,80,41,43
420,18-03-16 11:59,74,96,88,68,42
421,18-03-16 12:59,75,86,83,59,56
422,18-03-16 13:59,70,82,68,56,53
423,18-03-16 14:59,72,75,72,55,52
424,18-03-16 15:59,74,77,73,59,61
425,18-03-16 16:59,75,75,76,57,65
426,18-03-16 17:59,75,75,71,48,71
427,18-03-16 18:58,81,72,60,56,62
428,18-03-16 19:59,84,68,57,47,76
429,18-03-16 20:59,76,61,61,63,71
430,18-03-16 21:59,82,60,55,51,71
431,18-03-16 22:59,78,54,55,46,59
432,18-03-16 23:59,78,55,51,58,60
433,19-03-16 0:59,100,58,50,51,80
434,19-03-16 1:59,84,55,49,66,69
435,19-03-16 2:56,82,55,42,56,78
436,19-03-16 3:57,79,58,38,52,82
437,19-03-16 4:59,81,69,39,64,63
438,19-03-16 5:57,84,73,47,64,68
439,19-03-16 6:55,79,79,44,54,74
440,19-03-16 7:59,79,88,48,57,56
441,19-03-16 8:58,72,87,43,56,49
442,19-03-16 9:59,73,86,48,47,53
443,19-03-16 10:59,67,86,53,43,45
444,19-03-16 11:59,66,79,58,48,44
445,19-03-16 12:59,63,79,47,62,40
446,19-03-16 13:59,66,72,47,47,41
447,19-03-16 14:59,64,68,42,54,44
448,19-03-16 15:56,66,64,43,35,45
449,19-03-16 16:59,66,62,46,42,48
450,19-03-16 17:59,71,60,46,38,49
451,19-03-16 18:59,70,60,40,55,57
452,19-03-16 19:59,71,55,47,48,54
453,19-03-16 20:59,69,57,44,42,65
454,19-03-16 21:59,70,51,42,57,66
455,19-03-16 22:57,74,49,43,52,70
456,19-03-16 23:59,73,47,46,59,72
457,20-03-16 0:59,75,47,42,54,68
458,20-03-16 1:59,80,49,40,51,71
459,20-03-16 2:59,83,52,36,64,75
460,20-03-16 3:59,81,60,36,69,72
461,20-03-16 4:56,83,65,36,53,74
462,20-03-16 5:58,81,68,36,68,84
463,20-03-16 6:59,81,69,38,73,69
464,20-03-16 7:55,76,75,41,83,61
465,20-03-16 8:59,75,80,45,62,49
466,20-03-16 9:57,65,75,49,64,37
467,20-03-16 10:59,64,72,44,71,44
468,20-03-16 11:59,67,71,55,52,39
469,20-03-16 12:59,64,65,49,54,43
470,20-03-16 13:59,65,62,50,61,40
471,20-03-16 14:59,67,58,43,53,46
472,20-03-16 15:59,66,59,45,59,43
473,20-03-16 16:58,67,59,48,53,48
474,20-03-16 17:59,67,57,44,48,55
475,20-03-16 18:59,72,56,47,55,52
476,20-03-16 19:59,76,57,43,57,49
477,20-03-16 20:59,69,55,47,52,60
478,20-03-16 21:59,73,48,51,60,64
479,20-03-16 22:59,78,46,51,56,71
480,20-03-16 23:59,77,49,56,58,56
481,21-03-16 0:58,82,46,56,64,77
482,21-03-16 1:58,83,50,50,53,79
483,21-03-16 2:59,79,58,54,68,94
484,21-03-16 3:57,82,62,49,77,82
485,21-03-16 4:59,82,71,51,59,79
486,21-03-16 5:58,87,78,56,68,88
487,21-03-16 6:57,86,83,54,60,97
488,21-03-16 7:57,79,83,56,63,59
489,21-03-16 8:59,75,84,63,50,55
490,21-03-16 9:59,68,84,64,68,50
491,21-03-16 10:59,71,81,86,44,36
492,21-03-16 11:59,64,88,90,51,42
493,21-03-16 12:59,71,82,85,59,49
494,21-03-16 13:59,68,77,75,67,43
495,21-03-16 14:59,71,79,83,47,48
496,21-03-16 15:59,72,71,75,45,61
497,21-03-16 16:59,72,71,80,52,69
498,21-03-16 17:59,80,72,81,63,59
499,21-03-16 18:59,73,70,72,58,80
500,21-03-16 19:58,75,66,65,59,73
501,21-03-16 20:58,80,59,58,57,76
502,21-03-16 21:59,74,56,58,52,79
503,21-03-16 22:59,78,58,66,63,88
504,21-03-16 23:59,97,55,63,51,88
505,22-03-16 0:59,85,58,65,54,77
506,22-03-16 1:59,91,53,59,61,87
507,22-03-16 2:59,84,57,51,60,100
508,22-03-16 3:59,76,56,57,73,93
509,22-03-16 4:59,69,63,67,59,98
510,22-03-16 5:59,93,68,58,82,79
511,22-03-16 6:59,85,79,72,86,92
512,22-03-16 7:57,77,73,76,80,72
513,22-03-16 8:57,77,82,80,89,56
514,22-03-16 9:59,66,82,75,93,47
515,22-03-16 10:59,62,90,90,62,41
516,22-03-16 11:59,64,81,90,52,31
517,22-03-16 12:59,59,73,91,62,31
518,22-03-16 13:59,62,71,92,66,41
519,22-03-16 14:59,65,68,82,59,43
520,22-03-16 15:59,66,66,84,59,51
521,22-03-16 16:59,68,68,83,68,63
522,22-03-16 17:59,71,71,85,68,55
523,22-03-16 18:59,67,64,84,66,69
524,22-03-16 19:59,74,65,77,50,63
525,22-03-16 20:59,71,64,73,58,72
526,22-03-16 21:59,74,60,64,81,73
527,22-03-16 22:59,72,57,72,70,72
528,22-03-16 23:59,79,58,67,67,71
529,23-03-16 0:57,89,57,71,65,75
530,23-03-16 1:59,91,61,66,73,79
531,23-03-16 2:59,80,52,62,80,100
532,23-03-16 3:54,74,58,62,63,72
533,23-03-16 4:59,70,60,70,68,92
534,23-03-16 5:59,74,64,72,69,80
535,23-03-16 6:59,75,73,78,74,79
536,23-03-16 7:59,75,74,75,97,69
537,23-03-16 8:59,74,71,80,91,69
538,23-03-16 9:59,74,74,89,69,50
539,23-03-16 10:59,66,81,96,100,35
540,23-03-16 11:59,63,81,93,73,42
541,23-03-16 12:59,63,80,97,70,40
542,23-03-16 13:59,61,79,88,56,37
543,23-03-16 14:59,62,69,82,64,46
544,23-03-16 15:59,62,65,75,56,52
545,23-03-16 16:59,65,70,92,63,57
546,23-03-16 17:59,65,64,85,54,58
547,23-03-16 18:59,67,61,86,51,55
548,23-03-16 19:59,64,66,83,41,66
549,23-03-16 20:59,74,56,74,60,63
550,23-03-16 21:59,81,61,73,79,67
551,23-03-16 22:59,70,59,72,66,66
552,23-03-16 23:59,71,54,71,59,67
553,24-03-16 0:59,74,52,73,78,79
554,24-03-16 1:59,100,61,66,76,67
555,24-03-16 2:59,77,46,61,82,68
556,24-03-16 3:59,72,58,60,65,76
557,24-03-16 4:59,72,61,57,81,74
558,24-03-16 5:59,85,68,68,82,93
559,24-03-16 6:59,75,73,63,66,81
560,24-03-16 7:59,73,74,72,71,68
561,24-03-16 8:59,79,73,72,62,57
562,24-03-16 9:59,68,80,83,64,48
563,24-03-16 10:59,63,80,88,72,41
564,24-03-16 11:59,64,82,89,46,40
565,24-03-16 12:59,62,85,100,80,40
566,24-03-16 13:59,62,75,92,48,41
567,24-03-16 14:59,62,71,85,51,44
568,24-03-16 15:59,62,67,75,56,65
569,24-03-16 16:59,62,72,83,55,59
570,24-03-16 17:59,65,65,79,49,60
571,24-03-16 18:59,68,66,77,55,74
572,24-03-16 19:59,68,67,73,59,66
573,24-03-16 20:59,75,59,75,60,72
574,24-03-16 21:59,70,59,70,64,66
575,24-03-16 22:59,76,55,64,55,73
576,24-03-16 23:57,71,50,68,59,75
577,25-03-16 0:59,71,48,60,85,79
578,25-03-16 1:57,73,48,55,65,60
579,25-03-16 2:59,75,52,51,75,77
580,25-03-16 3:56,72,53,48,92,78
581,25-03-16 4:59,79,67,43,93,80
582,25-03-16 5:59,73,70,60,76,67
583,25-03-16 6:59,72,73,52,52,76
584,25-03-16 7:58,71,81,56,72,73
585,25-03-16 8:59,67,81,66,85,67
586,25-03-16 9:48,64,85,57,90,48
587,25-03-16 10:59,62,82,77,64,38
588,25-03-16 11:59,62,83,85,59,32
589,25-03-16 12:59,69,78,79,65,38
590,25-03-16 13:59,60,78,78,63,31
591,25-03-16 14:59,58,72,70,69,38
592,25-03-16 15:59,60,69,69,82,46
593,25-03-16 16:59,63,65,65,55,50
594,25-03-16 17:59,61,66,61,47,57
595,25-03-16 18:59,64,62,68,68,59
596,25-03-16 19:58,67,65,61,66,72
597,25-03-16 20:59,65,59,56,54,68
598,25-03-16 21:59,68,60,58,50,63
599,25-03-16 22:59,77,53,58,54,66
600,25-03-16 23:58,70,48,51,67,69
601,26-03-16 0:58,72,47,48,67,62
602,26-03-16 1:59,76,49,51,69,68
603,26-03-16 2:56,74,56,52,85,61
604,26-03-16 3:59,72,56,44,57,76
605,26-03-16 4:59,69,65,43,61,90
606,26-03-16 5:57,70,65,34,44,79
607,26-03-16 6:59,72,74,44,65,66
608,26-03-16 7:47,71,81,47,77,69
609,26-03-16 8:59,72,80,48,64,60
610,26-03-16 9:54,63,83,53,71,51
611,26-03-16 10:55,61,76,52,58,39
612,26-03-16 11:56,56,81,50,65,38
613,26-03-16 12:48,58,77,55,78,21
614,26-03-16 13:57,61,73,50,57,34
615,26-03-16 14:59,56,73,44,45,37
616,26-03-16 15:59,58,69,50,76,44
617,26-03-16 16:57,58,72,50,53,48
618,26-03-16 17:59,60,60,47,65,43
619,26-03-16 18:59,61,66,46,58,53
620,26-03-16 19:59,60,61,46,46,51
